Speaker;Party;Country;Quote;date;Subject;Author;Questions and Answers
Ian Hudghton;Greens/EFA;UK;european social fund important tool member state voted favour report;20/11/2013;;;
Philippe Juvin;EPP;FR;writing supported colleague jan olbricht report aim provide 126 million additional euro france italy spain european social fund year 2013 aim contribute fight unemployment particular young people poverty social exclusion context economic crisis welcome adoption report;20/11/2013;;;
JeanLuc Melenchon;GUE/NGL;FR;writing proposal regulation amending financial allocation granted france italy spain esf objective address problem affecting country result final outcome multiannual financial framework negotiation period 20142020 remedying inequality generated english slave criminalizes country place given appropriation relate 2013 current financial allocation france italy spain esf fully committed union budget entry force regulation constitutes emergency voted;20/11/2013;;;
Willy Meyer;GUE/NGL;ES;writing voted favour report mobilization fund deal emergency situation economic crisis causing member state report aim activate european social fund address discrimination increase poverty caused crisis state palliative measure end economic policy cause situation small cure solve problem austerity generates effective aid million european suffering badly voted favour report;20/11/2013;;;
Louis Michel;ALDE;BE;writing congratulate deeply involved report importance future european union longterm negotiation enabled community budget unlocked cohesion policy 20142020 outcome confirms role cohesion policy main policy european union investment growth job creation implementation eu policy context important work coordination local regional partner responsible good implementation regional programme project supported political group fight led better condition smes;20/11/2013;;;
Franz Obermayr;NI;AT;writing additional appropriation 150 million union social fund esf intended help france italy spain addressing challenge effect crisis welcome resource provided urgently needed insufficient resource respective state budget member state referred enable reduce level unemployment eu average particular extent impact sorry sum drop hot stone want shortterm aid stress problem high youth unemployment tackled negative effect measure aim integrate reintegrate unemployed labour market supported fund allocated reason high quota eliminated;20/11/2013;;;
Younous Omarjee;GUE/NGL;FR;writing report support proposal regulation amend financial allocation granted esf france spain italy order provide additional envelope compensate inequality generated british serb multiannual financial framework 20142020 additional appropriation 2013 support fight unemployment country particular young people poverty social exclusion 83 million allocated france support proposal particularly vigilant additional appropriation specifically allocated difficult territory;20/11/2013;;;
Maria do Ceu Patrao Neves;EPP;PT;writing legislative proposal analysis amending general regulation fund period 20072013 currently force provides impact 2013 flexibility instrument additional eur 150 million european social fund esf member state france italy spain eur 100 million eur 30 million 20 million respectively current price addition order avoid problem authorisation draft regulation provides special derogation normal time limit authorisation allowing budgetary authorization additional provision 30 june 2014 increase agreed european council 27 28 june 2013 order support member state concerned effort meet challenge posed current crisis compensate negative impact result option taken multiannual financial framework 20142020 voted favour;20/11/2013;;;
Aldo Patriciello;EPP;IT;european social fund set 1957 treaty rome european union major tool social inclusion integration labour market member state suffered crisis particularly italy spain france allocates funding member state unemployment significantly average approximately eur 150 million proposed added esf 2013 commitment france italy spain order address unemployment voted proposal;20/11/2013;;;
Francisco Sosa Wagner;NI;ES;writing voted amendment called increase european social fund include country similar need interinstitutional agreement adopted enter force quickly support underlying criticism amendment eu council little transparent procedure negotiating mff particular position defended member state threatening leave union;20/11/2013;;;
Kay Swinburne;ECR;UK;report outline provision provide increase certain member state esf allocation provision report tie overall negotiation mff reservation particular use flexibility instrument glad able secure approval overall mff week;20/11/2013;;;
Marc Tarabella;PES;BE;writing european social fund supported main tool social inclusion union integration labour market key rise time crisis benefiting worker seeking employment 2008 crisis highlighted need intervention supported esf member state mentioned france italy spain able benefit increase allocation esf supporting employment facilitating access employment promoting return work period unemployment providing employment support training adaptation new working method andor new employment reason opinion rapporteur recommends adoption proposal amendment best time;20/11/2013;;;
Nuno Teixeira;EPP;PT;writing context negotiation new multiannual financial framework period 20142020 certain problem arising final outcome negotiation addressed em received additional check council meeting 27 28 june 2013 considered budgetary solution address problem member state budgetary disadvantage particular france italy spain european commission proposed provide france spain italy eur 100 30 20 million addition esf appropriation country 2013 using argument combat poverty social exclusion reduce youth unemployment voted favour report amendment adopted responsible committee subject respecting financial balance intended established member state recall portugal receive additional check eur 1000 million eur 300 million combat youth unemployment;20/11/2013;;;
SilviaAdriana Ticau;PES;RO;writing voted favour resolution proposal regulation amending regulation 10832006 regard financial allocation european social fund certain member state given current economic crisis consolidate economic social territorial cohesion union contribution special effort needed address specific problem unemployment particular youth unemployment problem poverty social exclusion proposed increase allocation european social fund france italy spain 2013 context negotiation new multiannual financial framework period 20142020 european commission proposes agree france italy spain amount eur 100 million eur 30 million respectively eur 20 million additional commitment allocation esf 2013 given amount indicated regulation expressed 2004 price corresponding amount referred regulation shall raised total eur 126 million follows eur 84 million france eur 17 million spain eur 25 million italy amount available flexibility instrument;20/11/2013;;;
Artur Zasada;EPP;PL;writing today vote supported proposal regulation financial allocation certain member state including poland european social fund main financial instrument eu make possible improve working condition investing human resource equalizing opportunity eu citizen welcomed result vote 11 billion euro approved poland efsf 20142020 money used important fight today unemployment young people creation new job fight poverty access money possible january 2014 importantly simplified administrative facilitative method introduced small enterprise faster use area measure allowed positive view future bearing mind situation european labour market near future improvement;20/11/2013;;;
Luis Paulo Alves;PES;PT;writing approves new protocol partnership agreement area fishery quiribati allows access spanish french portuguese vessel water state believe protocol various level potential compromise effort small island developing state manage exploitation land resource increase income resource contribute sustainable management coal resource western central pacific ocean unfpa assessment conference held 2010 called encouragement identify strategy help developing state particular developed small island developing country make major contribution capture transzonal highly migratory fish population increase regional effort sustain manage population sustainablely way european union account objective cooperation development policy implemented affect developing country;20/11/2013;;;
Sophie Auconie;EPP;FR;writing approved new protocol partnership agreement fishery sector app kiribati provides fishing opportunity territorial water kiribati spanish french portuguese vessel kiribati virtually resource fishing activity important focus action european vessel particular make financial contribution republic kiribati;20/11/2013;;;
Elena Basescu;EPP;RO;writing voted favour report european union intensify cooperation effort strengthen capacity developing country preserve manage efficient sustainable fishery central western pacific nearly 60 world tuna catch sustainable management fishing activity region global importance kiribati agreement important eu;20/11/2013;;;
Mara Bizzotto;EFD;IT;writing voted favour lovin report conclusion protocol setting fishing opportunity financial contribution provided fishery partnership agreement european community republic kiribati;20/11/2013;;;
Philippe Boulland;EPP;FR;writing voted favour new protocol allowing access fishing area kiribati european union tuna fleet including spanish french portuguese 15 september 2015 joint committee meeting european commission government kiribati eu parliament observer concluded agreement mutually beneficial;20/11/2013;;;
Alain Cadec;EPP;FR;writing voted favour lovin report authorising european fleet fishing exclusive economic zone kiribati sustainable exploitation tuna resource agreement respect international convention satisfies party european union kiribati kiribat fishery sector supported eur350000 financial envelope allocated sectoral development artificial fishery kiribati;20/11/2013;;;
Lara Comi;EPP;IT;writing voted motion direct resolution reject establishment partnership republic kiribati fact agreement assessed party mutually beneficial eu small island state pacific valid reason blocking conclusion;20/11/2013;;;
Rachida Dati;EPP;FR;writing support conclusion partnership agreement fishery sector european union kiribati beneficiary agreement european fisherman pleased respect sustainable fishing ambition concern tuna fishing given particular attention hope european union kiribati achieve sustainable mutually beneficial partnership;20/11/2013;;;
Jill Evans;Greens/EFA;UK;voted proposal support rapporteur recommendation committee fishery international obligation manage tuna fishery kiribati using vessel day scheme make consistent international law whilst eu bilateral fishery agreement western pacific directly affect wale important agreement legal certainty;20/11/2013;;;
